note_id,x,y,cluster
155216,17.000217,2.483408,26
77465,5.3083544,-6.8919754,-1
133948,9.021259,1.8290801,-1
80176,2.1615114,16.224346,-1
72232,15.770949,13.737206,96
31864,0.9604324,7.3811793,-1
26809,3.9290705,6.7249913,-1
149866,13.727637,13.911041,111
87064,9.781946,6.328202,-1
123006,-5.4300666,10.490701,76
119317,-5.199587,2.9755094,55
92167,-7.6098547,17.873095,107
42234,12.25039,-8.276643,92
92105,-2.9990108,14.851651,-1
89665,0.8146489,5.04473,-1
149815,-3.6834233,9.840167,-1
91779,2.6177487,3.0455022,9
146172,5.8852444,8.872962,-1
89642,5.231289,2.8342829,-1
90928,-2.914104,14.752376,-1
43555,5.7268686,2.1868224,15
129465,-1.0578983,6.3778887,-1
80892,0.4229221,7.1572304,-1
80727,6.200218,12.113153,-1
49286,5.1759124,9.940512,-1
159059,6.4925117,7.79063,-1
18630,-0.2384806,5.156113,-1
168381,10.20263,1.4650024,-1
45433,12.205924,9.065109,32
88707,-10.272214,-1.6855837,77
64196,4.093035,3.2302246,3
67707,6.9624863,19.402079,73
198381,10.202647,1.4648715,-1
1380,10.203584,1.4646951,-1
83157,-1.3656304,3.1823037,12
90149,4.097415,2.3320475,-1
178381,10.221365,1.4829077,-1
188381,10.205984,1.4667298,-1
152076,10.308923,-1.8000623,47
73120,8.030271,-3.2927577,84
162716,-0.3308009,17.866877,107
125729,1.9116836,7.459575,-1
187225,-8.162883,19.333616,107
194092,-11.753915,-4.762399,91
117267,-0.57625574,10.229441,-1
177225,-7.607741,17.873205,107
116456,8.535991,-5.926542,-1
159570,9.045635,16.36072,95
149755,13.65297,3.0922942,112
197225,-8.164344,19.338362,107
204092,-11.753294,-4.76257,91
102059,4.686375,14.430787,-1
184092,-11.754892,-4.76061,91
154419,9.04587,3.442692,-1
165442,-14.929663,6.2662635,89
174092,-11.755646,-4.760435,91
76327,2.5810835,2.7877598,-1
7091,-11.736673,-4.779878,91
224,-0.3306373,17.864523,107
167225,-7.6080513,17.873217,107
181894,4.5628505,6.848986,-1
64941,1.9640046,3.3237715,-1
108947,-7.2486353,4.2876797,-1
73099,-1.0452441,9.536906,-1
122288,3.000243,1.041774,-1
180059,19.601744,1.3541192,92
4893,4.5666676,6.837346,-1
171894,4.5647993,6.849446,-1
130639,0.6498739,13.829547,-1
41351,1.1668744,14.082808,64
89329,-4.900878,-0.753785,104
191894,4.5657315,6.842922,-1
126294,14.338273,9.573995,32
15125,-4.8143067,3.7093472,-1
91000,1.9051008,3.4044027,-1
79029,-5.2392383,10.596082,-1
96329,3.499797,9.549202,-1
200059,20.039026,1.4209715,92
170059,12.250425,-8.276574,92
119140,6.306217,6.7020073,-1
201894,4.564924,6.844776,-1
3058,12.25048,-8.276515,92
190059,19.601877,1.3541718,92
114489,-4.539978,3.127542,55
42752,0.78809285,5.0545263,-1
155425,8.425687,7.4793506,-1
123768,-4.9009924,-0.75533205,104
86241,3.129159,2.8254457,-1
92709,-1.8493915,9.591919,-1
83928,-2.112674,9.461835,-1
125659,-4.8468227,3.0010424,-1
194410,-1.6905395,3.8243825,48
119479,3.51698,-0.05960462,-1
117356,4.4350142,-2.3683765,-1
90305,6.901559,14.804574,-1
114403,-4.0121155,5.71504,-1
72926,2.268736,9.762778,-1
81763,1.8885748,15.714676,-1
28944,3.2767885,14.207467,48
109214,-3.7981417,3.1260371,54
37146,4.739216,2.9366198,-1
184410,-1.6907016,3.8243415,48
34609,2.9975162,3.6445167,-1
37338,0.0045212284,8.754513,-1
113712,-3.2590759,10.6019945,-1
12011,4.0013294,14.167947,-1
174410,-1.6958297,3.8136387,48
117050,-1.7906471,10.029946,39
7409,-1.6931604,3.8196924,48
55247,-0.2327792,-4.564131,112
35456,5.1723976,22.925894,40
126799,10.308778,-1.7999346,47
204410,-1.6917536,3.8212302,48
75975,15.610973,6.32552,52
34388,-0.8834664,-3.352488,109
60957,-2.1032505,6.736477,-1
143037,2.6858523,7.7687955,-1
95730,2.3386142,9.942443,70
143121,3.0690124,5.0945826,-1
200027,-3.403869,-3.6644216,108
143885,2.8929648,7.5927157,-1
115606,15.586615,11.288296,97
20611,1.0160713,10.471738,-1
95004,3.019623,14.213568,48
14800,-0.23934652,-4.534106,-1
29604,10.16809,21.449226,98
82247,4.100972,6.825914,-1
93459,-1.1359556,7.588745,16
72267,8.094765,10.938313,28
73440,3.7849097,1.1491547,13
84360,-14.975184,12.22353,89
32488,-4.9320836,4.0169706,-1
37575,5.6490054,14.647124,-1
89414,4.0589995,7.9940033,-1
180027,-3.403779,-3.664572,108
190027,-3.4036803,-3.6646948,108
89476,-5.2001686,2.9767356,-1
3026,-3.4035733,-3.6647775,108
77061,13.380056,-0.058697008,-1
119678,13.402042,9.443972,-1
156709,-0.55100745,10.873525,-1
170027,-3.4034555,-3.664841,108
135906,6.4314537,7.8856044,-1
65076,-0.42529202,9.228156,-1
34230,10.184452,10.584734,-1
139314,-7.293947,8.199714,6
203716,16.827837,-2.4283984,63
82439,0.7241043,3.0427136,-1
117270,0.50680757,6.4480605,-1
61761,-11.737558,-4.7789783,91
71416,1.7170599,2.4961624,-1
66149,10.168464,21.449062,98
62065,4.3254247,10.258795,-1
79656,1.8310745,15.84492,-1
125401,1.8128009,9.595878,-1
162531,-4.7178297,9.234675,-1
75718,5.310177,-6.9127913,77
166023,-3.3413734,1.6779121,-1
82158,11.420011,5.2098985,70
79675,0.2795802,11.120978,-1
62793,6.291866,12.010567,-1
74321,0.4197171,12.939966,-1
129903,0.5399169,11.863817,-1
40451,-3.3454645,-0.3695935,-1
159777,-16.734507,7.179655,89
132578,6.7419896,7.349292,104
73874,-4.409462,3.0586684,-1
183716,17.612097,-2.1980894,63
53862,-0.033859167,5.6169477,-1
88766,4.2424645,1.9721501,-1
162673,0.2986669,11.126998,-1
101296,18.318853,12.451186,100
101293,-2.2497203,8.249674,-1
126651,1.5912273,-3.1397464,-1
125818,16.779627,-1.7173095,63
149806,6.391164,13.84174,-1
36401,4.721977,9.611264,37
158562,-4.1165156,5.853803,-1
41959,-6.6524515,0.87259614,42
124943,2.820832,3.5865128,-1
163624,-4.0650673,12.971404,-1
83662,3.8832202,-2.6530714,-1
121355,-0.23269057,-4.5642877,112
149865,-1.0096874,6.0449705,-1
88214,-5.8823476,0.36219174,45
44318,5.0870657,18.330927,51
6715,16.780613,-1.7174137,63
173716,17.174006,-1.8263155,63
90884,8.45451,-1.4376386,-1
76615,0.24009284,11.093585,-1
157025,3.275403,9.77351,-1
93811,8.41356,7.4848824,-1
193716,17.173992,-1.8261373,63
156017,13.375599,-0.054515414,-1
75506,-3.7233734,3.1218247,-1
67018,4.2361536,10.104916,-1
93114,5.7898254,14.3351145,-1
104194,-6.9985175,9.347535,90
79298,0.4732265,6.1669974,-1
73178,-7.4082704,4.2403755,-1
142862,8.030298,-3.2927258,84
160777,8.835635,-12.210057,89
164800,4.728994,1.8154057,27
92128,-3.7103395,3.2829764,-1
156882,0.39248773,9.100103,82
35944,-1.9255198,0.73878855,-1
184172,6.350559,2.1832416,-1
39827,16.828125,-2.4279907,63
29505,6.1403375,6.7105594,-1
79609,5.7821755,9.60263,40
117253,13.727015,13.910835,111
108485,-1.0981541,18.974163,83
81451,5.6899877,15.257569,-1
102244,6.178931,12.034328,-1
204172,6.34512,2.1847281,-1
74184,-4.0972424,5.101188,-1
134767,2.027076,9.073238,-1
142627,14.359359,4.64276,86
89973,6.245629,4.864823,-1
106543,-1.6570058,3.8478808,-1
87135,4.571308,8.572422,-1
142524,10.222564,10.644442,17
170932,-1.3747541,4.119425,-1
111307,10.255903,10.523524,-1
83035,8.231165,10.853968,-1
39084,1.1560292,9.38927,-1
150672,10.432252,18.98245,82
34653,12.227084,9.068585,32
36248,3.8522336,2.2130318,27
89571,10.5474205,21.505444,98
200932,-1.3753006,4.1189704,-1
180932,-1.3754287,4.117079,-1
150268,0.5273732,11.7124405,-1
47411,-0.7692593,10.909402,-1
165822,5.9232717,2.1445076,-1
78498,1.5883794,-3.1368873,-1
190932,-1.3755633,4.1133757,-1
73474,3.5407288,4.864544,-1
162282,22.145058,0.6775731,89
28980,2.010429,3.841364,-1
161441,-7.5773535,4.184437,-1
13595,6.3045917,8.033457,-1
37293,3.9186673,9.703421,-1
90815,-9.358414,-11.616115,89
66150,7.715215,14.390664,-1
151002,-8.175015,18.091639,107
112048,0.7995031,3.8934805,-1
29616,3.2924113,5.0636144,-1
